Jalsa, Yes, Yes,4.1,775, Banashankari, Casual Dining,800, Buffet, Banashankari, North Indian/Mughlai/Chinese
Spice Elephant, Yes, No,4.1,787, Banashankari, Casual Dining,800, Buffet, Banashankari, Chinese/North Indian/Thai
Addhuri Udupi Bhojana, No, No,3.7,88, Banashankari, Quick Bites,300, Buffet, Banashankari, South Indian/North Indian
Grand Village, No, No,3.8,166, Basavanagudi, Casual Dining,600, Buffet, Banashankari, North Indian/Rajasthani
Timepass Dinner, Yes, No,3.8,286, Basavanagudi, Casual Dining,600, Buffet, Banashankari, North Indian
Rosewood International Hotel - Bar & Restaurant, No, No,3.6,8, Mysore Road, Casual Dining,800, Buffet, Banashankari, North Indian/South Indian/Andhra/Chinese
Penthouse Cafe, Yes, No,4,324, Banashankari, Cafe,700, Cafes, Banashankari, Cafe/Italian/Continental
Smacznego, Yes, No,4.2,504, Banashankari, Cafe,550, Cafes, Banashankari, Cafe/Mexican/Italian/Momos/Beverages
Cafe Down The Alley, Yes, No,4.1,402, Banashankari, Cafe,500, Cafes, Banashankari, Cafe
Cafe Shuffle, Yes, Yes,4.2,150, Banashankari, Cafe,600, Cafes, Banashankari, Cafe/Italian/Continental
The Coffee Shack, Yes, Yes,4.2,164, Banashankari, Cafe,500, Cafes, Banashankari, Cafe/Chinese/Continental/Italian
Caf-Eleven, No, No,4,424, Banashankari, Cafe,450, Cafes, Banashankari, Cafe/Continental
Cafe Vivacity, Yes, No,3.8,90, Banashankari, Cafe,650, Cafes, Banashankari, Cafe
Catch-up-ino, Yes, No,3.9,133, Banashankari, Cafe,800, Cafes, Banashankari, Cafe/Fast Food/Continental/Chinese/Momos
Kirthi's Biryani, Yes, No,3.8,144, Banashankari, Cafe,700, Cafes, Banashankari, Chinese/Cafe/Italian
T3H Cafe, No, No,3.9,93, Banashankari, Cafe,300, Cafes, Banashankari, Cafe/Italian/American
360 Atoms Restaurant And Cafe, Yes, No,3.1,13, Banashankari, Cafe,400, Cafes, Banashankari, Cafe/Chinese/Continental/Italian
The Vintage Cafe, Yes, No,3,62, Banashankari, Cafe,400, Cafes, Banashankari, Cafe/French/North Indian
Woodee Pizza, Yes, No,3.7,180, Banashankari, Cafe,500, Cafes, Banashankari, Cafe/Pizza/Fast Food/Beverages
Cafe Coffee Day, No, No,3.6,28, Banashankari, Cafe,900, Cafes, Banashankari, Cafe/Fast Food
Hide Out Cafe, No, No,3.7,31, Banashankari, Cafe,300, Cafes, Banashankari, Cafe
CAFE NOVA, No, No,3.2,11, Banashankari, Cafe,600, Cafes, Banashankari, Cafe/Bakery
Sea Green Cafe, No, No,3.3,4, Banashankari, Cafe,500, Cafes, Banashankari, Cafe/Fast Food/Beverages
Cuppa, No, No,3.3,23, Banashankari, Cafe,550, Cafes, Banashankari, Cafe/Fast Food
Redberrys, Yes, No,4,219, Basavanagudi, Cafe,600, Cafes, Banashankari, Cafe/Italian
Foodiction, Yes, No,2.8,506, Banashankari, Quick Bites,500, Delivery, Banashankari, North Indian/Fast Food/Chinese/Burger
Sweet Truth, Yes, No,3.9,35, Banashankari, Delivery,500, Delivery, Banashankari, Bakery/Desserts
Ovenstory Pizza, Yes, No,3.9,172, Banashankari, Delivery,750, Delivery, Banashankari, Pizza
Faasos, Yes, No,4.2,415, Banashankari, Quick Bites,500, Delivery, Banashankari, North Indian/Biryani/Fast Food
Behrouz Biryani, Yes, No,3.9,230, Banashankari, Delivery,650, Delivery, Banashankari, Biryani
Fast And Fresh, Yes, No,2.8,91, Banashankari, Quick Bites,400, Delivery, Banashankari, North Indian/Chinese/Fast Food
Szechuan Dragon, Yes, No,4.2,1647, Banashankari, Casual Dining,600, Delivery, Banashankari, Chinese/Thai/Momos
Empire Restaurant, Yes, No,4.4,4884, Jayanagar, Casual Dining,750, Delivery, Banashankari, North Indian/Mughlai/South Indian/Chinese
Maruthi Davangere Benne Dosa, Yes, No,4,17, Banashankari, Quick Bites,150, Delivery, Banashankari, South Indian
Chaatimes, Yes, No,3.8,133, Basavanagudi, Quick Bites,200, Delivery, Banashankari, Street Food/Fast Food
Havyaka Mess, No, No,3.9,28, Banashankari, Mess,300, Delivery, Banashankari, South Indian
McDonald's, Yes, No,3.9,286, Banashankari, Quick Bites,500, Delivery, Banashankari, Burger/Fast Food
Domino's Pizza, Yes, No,3.9,540, Banashankari, Quick Bites,800, Delivery, Banashankari, Pizza/Fast Food
Hotboxit, No, No,3.8,36, Banashankari, Delivery,400, Delivery, Banashankari, North Indian/Continental/Italian
Kitchen Garden, Yes, No,3.6,244, Kumaraswamy Layout, Quick Bites,300, Delivery, Banashankari, North Indian/Chinese
Recipe, Yes, No,4,804, Kumaraswamy Layout, Casual Dining,450, Delivery, Banashankari, North Indian/Chinese/Biryani/Rolls
Beijing Bites, Yes, No,3.7,679, Rajarajeshwari Nagar, Casual Dining,850, Delivery, Banashankari, Chinese/Thai
